%time,field.Xref0,field.Xref1,field.Xref2,field.Xref3,field.Xref4,field.Yref0,field.Yref1,field.Yref2,field.Yref3,field.Yref4,field.Xges0,field.Xges1,field.Xges2,field.Xges3,field.Xges4,field.Yges0,field.Yges1,field.Yges2,field.Yges3,field.Yges4
1717769999505725860,0.08174625230723181,0.16348531337312203,0.2452130550948186,0.3269277817976037,0.4086295575169156,0.00041908596721132875,0.0015880109059719775,0.0033853690570810197,0.005702017612696824,0.008438423921871878,0.1186578871490062,0.2328744944472584,0.34711064672828396,0.4629866420764696,0.5810266451108432,-0.004118497955040369,-0.007661165629908908,-0.011129735152896482,-0.014805124232808055,-0.018760704835641878
1717769999591285228,0.08174665436423871,0.16348825842130843,0.24522202790694073,0.32694703403854003,0.4086637014574545,0.0003535388231598136,0.0013355925024153312,0.0028370405736510137,0.004758354698851711,0.007007421761122131,0.11167549238221736,0.22457076310847157,0.3399677397642696,0.45775956397012324,0.5785504680507693,-0.0028489729449365795,-0.005541863780837622,-0.008377043327560544,-0.011609471532947927,-0.01539110702407966
1717769999673963308,0.08174697022611704,0.1634904704999591,0.24522873575972004,0.326961416628025,0.4086891604855825,0.00029516453383371974,0.0011097709550439573,0.00234430224366933,0.003906644966596702,0.005710257837966316,0.11867693123880582,0.23291097562575283,0.3471695939263028,0.4630756808697818,0.5811556724080247,-0.0032109535236009897,-0.005867131625190311,-0.00837856338651539,-0.011008961576316442,-0.013795515909434208
1717769999757656812,0.08174719965028529,0.16349210366669578,0.24523371793510376,0.3269720840771313,0.4087079175039215,0.00024242519978170997,0.0009048016225776627,0.0018950205371972726,0.003126538246425316,0.004516791725862313,0.11171096992927866,0.2246356348465446,0.3400584405236815,0.4578822041859021,0.5787148381907032,-0.001648838161688206,-0.003057586475920432,-0.004499250930569602,-0.006232676543372356,-0.008408911156118993
1717769999840617895,0.08174735719634646,0.16349330278868482,0.2452373826206905,0.3269798391183263,0.40872137556082927,0.00019407882569018968,0.0007160136094796713,0.0014792618357932583,0.0024012577366593524,0.0034019993032921147,0.11871340355296575,0.23297780393347617,0.3472620623129506,0.46318726269736155,0.5812778501912785,-0.0015628997043501199,-0.0027206662936489494,-0.0038916021362784994,-0.005330091888030135,-0.007103703747672423
1717769999921737432,0.08174766108262858,0.1634952655557012,0.24524252446942948,0.32698865626076534,0.40873213351882537,-1.3083741851533122e-05,-0.0001049185038473218,-0.0003555088641033047,-0.0008474172473075024,-0.0016671738809881122,0.1116991447231588,0.22461407157520977,0.3400517161785724,0.4579211723867403,0.5788367176093482,-0.0007402868020842845,-0.0009855550738432433,-0.001008060681829661,-0.0008320041893824024,-0.0003523141189036829
1717770000008465290,0.08174763915766063,0.16349500902279507,0.24524136769574062,0.3269852293352324,0.4087239743053011,-5.256289895757656e-05,-0.0002638815438639178,-0.0007165187253456135,-0.0014970053947197047,-0.0026974183901793533,0.118767614627127,0.23305543155954056,0.34732385589933756,0.4632228797838105,0.5812842597208071,0.0019159499545272022,0.004223616040450506,0.006755956862149898,0.009286856271848457,0.011677634262693233
1717770000089358329,0.08174759023140085,0.16349451890072414,0.2452394255367287,0.326979823909695,0.4087116407301088,-9.288054562194712e-05,-0.00042708083958652214,-0.0010891338951203883,-0.0021711202491792605,-0.0037724891904375,0.11166511421713916,0.22455013752069025,0.3399527164133182,0.4577927550970233,0.5786875353102291,0.002847941756280999,0.005635016401384481,0.008161705488860197,0.010543096796163321,0.012902486650080303
1717770000173596382,0.08174750082957626,0.1634937797292515,0.2452365751916017,0.3269720566369596,0.4086942590918352,-0.00013470271840727255,-0.0005972621567009527,-0.0014797646450741947,-0.00288166911658339,-0.004911968446718181,0.11881221722441189,0.23313523320353818,0.34741260320075823,0.4633111978485843,0.5813566492422505,0.0020760860788501807,0.00396513193881756,0.006073036966948793,0.008718516186675417,0.012077901568921147
1717770000258398056,0.0817473921311067,0.16349275875520963,0.24523261460565576,0.3269613731336618,0.4086705796214675,-0.00017875944875397423,-0.0007774715102717015,-0.001895607816799055,-0.0036421812955003585,-0.006138373287134089,0.11167287736895855,0.2245485212083391,0.33992414733125287,0.4577281070904423,0.5785772358499377,0.0032353139119140027,0.006165549009657826,0.008879466101221891,0.011598247190988353,0.014304367368512538
1717770000340778589,0.08174724704522952,0.16349135238269968,0.2452272267117687,0.3269469680907825,0.40863870557883686,-0.00022587865729195683,-0.0009712012909687212,-0.0023450051737182354,-0.004468508946510103,-0.0074783694512502875,0.11876109147556628,0.23305558714343355,0.3473280776670625,0.4632124823883763,0.5812275137365662,0.0017929330191711944,0.003322744974894732,0.004892546474348129,0.006813176155138353,0.009288163729300358
1717770000421804189,0.08174703369908849,0.1634894368645945,0.2452200021018894,0.3269276415220408,0.40859604741711464,-0.0002770282508663732,-0.001182574590648324,-0.002837900938607796,-0.005379729898569749,-0.008964369803274305,0.1116351418865852,0.22450752707213992,0.3399094178342061,0.4577105976535269,0.5785054410433079,0.0022248539547292524,0.004513974179090001,0.007270505501464161,0.010770831216097265,0.01515355521405654
1717770000508521795,0.08174673910015495,0.16348688862557317,0.2452103179448496,0.32690181382518857,0.40853865822590535,-0.0003333705698128796,-0.0014165856399802055,-0.003386442074446253,-0.006399358522258908,-0.010636664392560974,0.11867577393005824,0.23289446031732505,0.3471098110417035,0.4629516587365651,0.5809481521677552,0.004264719061874722,0.008180707790215755,0.01224869426331201,0.01672211810302786,0.021641064111191134
1717770000588347196,0.08174636577995549,0.16348346217207588,0.24519739082785813,0.326866958174812,0.40846098123843066,-0.00039633457543885014,-0.0016794197091679459,-0.004005796361101803,-0.007556978432850531,-0.012546386536228263,0.11163904269927341,0.22449711054623714,0.3398524716469243,0.4575957050358259,0.5783302614921461,0.003937063024546085,0.007797853374256063,0.011877479848074777,0.016416461992973252,0.021564335588307147
1717770000675830602,0.08174582850937875,0.16347889702318952,0.2451798235819006,0.32681955558287934,0.40835454338208665,-0.00046771293590876185,-0.0019788965798290684,-0.004715267204112468,-0.008890545845923008,-0.014759628068918416,0.11862937753251766,0.23280764830295916,0.3469682862204862,0.4627079112434312,0.5805328282066399,0.004844856692204041,0.009653088234335314,0.014952623909323969,0.021101993982095064,0.02827379015856587
1717770000757191896,0.08174518875047598,0.16347264742954865,0.24515583905839064,0.32675421488101397,0.40820654466756806,-0.0005498007257099884,-0.002325081719191299,-0.005539890928812813,-0.010449618484094368,-0.017363321751575927,0.11143332451495153,0.22409700436040075,0.3392858768060771,0.4568848709563069,0.5775013575918546,0.007085053310838445,0.014172302630018159,0.021522168343545606,0.029334802288413862,0.03765415900947143
1717770000842688560,0.0817441884662775,0.16346400936743274,0.2451224474852542,0.32666254982060533,0.407997045113257,-0.0006455824773415163,-0.002731167481962037,-0.0065126811623675025,-0.012299997610326706,-0.020473671658158377,0.11854895290800849,0.23262274681753714,0.3466379843893829,0.46222540518575944,0.5798961147148639,0.007703085671859724,0.015114027590511248,0.022781844549475273,0.031084129888643085,0.040218956667441776
1717770000927172422,0.08174290602682902,0.16345196186964722,0.245075251212649,0.32653169060361104,0.4076945371190373,-0.0007590172708102372,-0.003214736072380047,-0.007677914016061678,-0.014530472202396456,-0.0242483190534446,0.11130284017987702,0.22383715483233702,0.33887661914674677,0.45628199775356965,0.5766443882360636,0.008667720720874334,0.017464053491954554,0.02684399060076668,0.03704546149838275,0.048210335828664325
